GCN,Label Propagation,MGN,MGN (Felzenswalb Strategy),MGN (Kmeans Strategy)
1,,0.28900000000000003,0.86,0.836,0.826
2,0.767,0.8119999999999999,0.8950000000000001,0.8960000000000001,0.8930000000000001
3,0.6170000000000001,0.7979999999999999,0.8850000000000001,0.8720000000000001,0.877
4,0.41,0.5810000000000001,0.683,0.675,0.676
5,0.9349999999999999,0.791,0.9650000000000001,0.9450000000000001,0.9489999999999998
6,0.9880000000000001,0.8019999999999999,0.992,0.9890000000000001,0.9880000000000001
7,,0.16200000000000003,0.95,0.96,0.893
8,0.9339999999999999,0.784,0.99,0.99,0.9870000000000001
9,1.0,0.238,0.485,0.46699999999999997,0.43500000000000005
10,0.645,0.768,0.885,0.883,0.882
11,0.748,0.867,0.9419999999999998,0.943,0.9389999999999998
12,0.7739999999999999,0.819,0.8910000000000002,0.89,0.8860000000000001
13,0.99,0.655,0.99,0.99,0.9890000000000001
14,0.959,0.8389999999999999,0.9880000000000001,0.9890000000000001,0.985
15,0.7369999999999999,0.6560000000000001,0.9,0.889,0.8659999999999999
16,0.85,0.5490000000000002,0.844,0.8470000000000001,0.8469999999999999
