GCN,Label Propagation,MGN,MGN (Felzenswalb Strategy),MGN (Kmeans Strategy)
1,0.9949999999999999,0.9950000000000001,1.0,1.0,1.0
2,0.998,0.9960000000000001,1.0,1.0,1.0
3,0.932,0.999,1.0,0.998,0.999
4,0.99,0.985,0.99,0.99,0.99
5,0.9739999999999999,0.9810000000000001,0.99,0.9890000000000001,0.99
6,1.0,0.998,1.0,1.0,1.0
7,0.9710000000000001,0.9970000000000001,1.0,1.0,1.0
8,0.784,0.998,0.9879999999999999,0.994,0.992
9,0.9200000000000002,0.999,1.0,1.0,1.0
10,0.9200000000000002,0.9800000000000001,0.99,0.99,0.9890000000000001
11,0.0,0.9869999999999999,0.982,0.9810000000000001,0.9810000000000001
12,0.99,0.9770000000000001,1.0,1.0,1.0
13,0.99,0.976,0.99,0.99,0.99
14,0.9700000000000001,0.959,0.9700000000000001,0.9700000000000001,0.9700000000000001
15,0.5830000000000001,0.998,0.983,0.993,0.99
16,0.9499999999999998,0.992,1.0,1.0,1.0
